FullCardNumber,Type,Response,State,Country,Year,Exclusion,Reg_Type,Region,count_2019,Group,Day_1,Day_2,Day_3,first_visit
,,,Pondicherry,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,1,Day 2
,,,TAMIL NADU,India,2019,,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,UTTAR PRADESH,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,MH,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,UTTAR PRADESH,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,TAMILNADU,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,,Day 1
,,,Karnataka,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,Telangana,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,,Day 1
,,,Telangana,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,India,India,2019,,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Maharastra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,,1,Day 3
,,,Karnataka,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,1,Day 2
,,,UTTAR PRADESH,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,New Delhi,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,,Day 1
,,,KERALA,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,Dubai,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,TAMIL NADU,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,1,1,Day 1
,,,DELHI,India,2019,,Onsite,Australia-Asia,1,INTL,1,1,,Day 1
,,,Rajasthan,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,Rajasthan,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,Maharashtra,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,Dubai,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,Dubai,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,Haryana,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,New Jersey,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,1,,,Day 1
,,,MH,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,,,Day 1
,,,TAMILNADU,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Dubai,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,,,Day 1
,,,UTTAR PRADESH,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,Dubai,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,,,Day 1
,,,TAMILNADU,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,,1,Day 1
,,,Dubai,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,,,Day 1
,,,Maharastra,India,2019,inc,Onsite,Australia-Asia,1,INTL,1,1,1,Day 1
,,,Dubai,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,,1,Day 3
,,,Maharashtra,India,2019,,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,West Bengal,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,1,,Day 2
,,,New Delhi,India,2019,,Pre-Reg,Australia-Asia,1,INTL,,1,1,Day 2
,,,TAMILNADU,India,2019,inc,Onsite,Australia-Asia,1,INTL,,1,1,Day 2
,,,Dubai,India,2019,inc,Onsite,Australia-Asia,1,INTL,,1,,Day 2
,,,Karnataka,India,2019,inc,Onsite,Australia-Asia,1,INTL,,1,,Day 2
,,,Dubai,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,,1,Day 3
,,,Dubai,India,2019,inc,Pre-Reg,Australia-Asia,1,INTL,,,1,Day 3
